縣市,統計期,業者名稱,現在的基地台數量,之前的基地台數量
17,1080331,4,137,122
17,1080228,4,122,112
17,1080131,4,112,112
18,1120531,4,192,192
18,1120430,4,192,192
18,1120331,4,192,192
18,1120228,4,192,193
18,1120131,4,193,193
18,1111231,4,193,193
18,1111130,4,193,193
18,1111031,4,193,184
18,1110930,4,184,184
18,1110831,4,184,184
18,1110731,4,184,184
18,1110630,4,184,184
18,1110531,4,184,185
18,1110430,4,185,185
18,1110331,4,185,185
18,1110228,4,185,185
18,1110131,4,185,185
18,1101231,4,185,185
18,1101130,4,185,185
18,1101031,4,185,185
18,1100930,4,185,185
18,1100831,4,185,181
18,1100731,4,181,181
18,1100630,4,181,181
18,1100531,4,181,180
18,1100430,4,180,180
18,1100331,4,180,180
18,1100228,4,180,183
18,1100131,4,183,183
18,1091231,4,183,183
18,1091130,4,183,181
18,1091031,4,181,181
18,1090930,4,181,181
18,1090831,4,181,177
18,1090731,4,177,174
18,1090630,4,174,174
18,1090531,4,174,171
18,1090430,4,171,171
18,1090331,4,171,164
18,1090229,4,164,164
18,1090131,4,164,164
18,1081231,4,164,164
18,1081130,4,164,152
18,1081031,4,152,144
18,1080930,4,144,130
18,1080831,4,130,130
18,1080731,4,130,125
18,1080630,4,125,125
18,1080531,4,125,125
18,1080430,4,125,125
18,1080331,4,125,117
18,1080228,4,117,111
18,1080131,4,111,111
19,1120531,4,151,151
19,1120430,4,151,151
19,1120331,4,151,151
19,1120228,4,151,151
19,1120131,4,151,151
19,1111231,4,151,151
19,1111130,4,151,151
19,1111031,4,151,151
19,1110930,4,151,151
19,1110831,4,151,151
19,1110731,4,151,142
19,1110630,4,142,142
19,1110531,4,142,142
19,1110430,4,142,142
19,1110331,4,142,142
19,1110228,4,142,142
19,1110131,4,142,142
19,1101231,4,142,142
19,1101130,4,142,142
19,1101031,4,142,142
19,1100930,4,142,142
19,1100831,4,142,142
19,1100731,4,142,140
19,1100630,4,140,137
19,1100531,4,137,137
19,1100430,4,137,137
19,1100331,4,137,137
19,1100228,4,137,137
19,1100131,4,137,137
19,1091231,4,137,140
19,1091130,4,140,132
19,1091031,4,132,132
19,1090930,4,132,131
19,1090831,4,131,131
19,1090731,4,131,131
19,1090630,4,131,131
19,1090531,4,131,128
19,1090430,4,128,128
19,1090331,4,128,128
19,1090229,4,128,128
19,1090131,4,128,128
19,1081231,4,128,128
19,1081130,4,128,128
19,1081031,4,128,109
19,1080930,4,109,101
19,1080831,4,101,101
19,1080731,4,101,101
19,1080630,4,101,101
19,1080531,4,101,101
19,1080430,4,101,99
19,1080331,4,99,91
19,1080228,4,91,90
19,1080131,4,90,90
20,1120531,4,41,41
20,1120430,4,41,41
20,1120331,4,41,41
20,1120228,4,41,41
20,1120131,4,41,41
20,1111231,4,41,41
20,1111130,4,41,41
20,1111031,4,41,41
20,1110930,4,41,41
20,1110831,4,41,41
20,1110731,4,41,40
20,1110630,4,40,44
20,1110531,4,44,44
20,1110430,4,44,44
20,1110331,4,44,44
20,1110228,4,44,44
20,1110131,4,44,44
20,1101231,4,44,44
20,1101130,4,44,44
20,1101031,4,44,44
20,1100930,4,44,44
20,1100831,4,44,44
20,1100731,4,44,44
20,1100630,4,44,44
20,1100531,4,44,44
20,1100430,4,44,44
20,1100331,4,44,44
20,1100228,4,44,44
20,1100131,4,44,44
20,1091231,4,44,44
20,1091130,4,44,44
20,1091031,4,44,44
20,1090930,4,44,42
20,1090831,4,42,42
20,1090731,4,42,42
20,1090630,4,42,42
20,1090531,4,42,42
20,1090430,4,42,42
20,1090331,4,42,42
20,1090229,4,42,42
20,1090131,4,42,42
20,1081231,4,42,42
20,1081130,4,42,37
20,1081031,4,37,28
20,1080930,4,28,27
20,1080831,4,27,27
20,1080731,4,27,27
20,1080630,4,27,27
20,1080531,4,27,27
20,1080430,4,27,27
20,1080331,4,27,26
20,1080228,4,26,26
20,1080131,4,26,26
21,1120531,4,32,32
21,1120430,4,32,32
21,1120331,4,32,32
21,1120228,4,32,32
21,1120131,4,32,32
21,1111231,4,32,32
21,1111130,4,32,32
21,1111031,4,32,32
21,1110930,4,32,32
21,1110831,4,32,32
21,1110731,4,32,28
21,1110630,4,28,36
21,1110531,4,36,36
21,1110430,4,36,36
21,1110331,4,36,36
21,1110228,4,36,36
21,1110131,4,36,36
21,1101231,4,36,36
21,1101130,4,36,36
21,1101031,4,36,36
21,1100930,4,36,36
21,1100831,4,36,36
21,1100731,4,36,36
21,1100630,4,36,36
21,1100531,4,36,36
21,1100430,4,36,36
21,1100331,4,36,36
21,1100228,4,36,36
21,1100131,4,36,36
21,1091231,4,36,37
21,1091130,4,37,37
21,1091031,4,37,37
21,1090930,4,37,36
21,1090831,4,36,36
21,1090731,4,36,36
21,1090630,4,36,36
21,1090531,4,36,36
21,1090430,4,36,36
21,1090331,4,36,36
21,1090229,4,36,36
21,1090131,4,36,36
21,1081231,4,36,36
21,1081130,4,36,36
21,1081031,4,36,32
21,1080930,4,32,32
21,1080831,4,32,32
21,1080731,4,32,32
21,1080630,4,32,32
21,1080531,4,32,31
